[2025-07-18 11:57:16] ONEUSDT (linear) - 3.1x, цена: 0.013, Объем: 4,746,574 USD
[2025-07-18 11:57:16] GIGAUSDT (linear) - 3.1x, цена: 0.024, Объем: 12,096,840 USD
[2025-07-18 11:57:15] ALUUSDT (linear) - 3.1x, цена: 0.011, Объем: 34,258,932 USD
[2025-07-18 11:51:14] ROSEUSDT (linear) - 8.5x, цена: 0.032, Объем: 10,911,730 USD
[2025-07-18 11:51:14] REXUSDT (linear) - 13.5x, цена: 0.016, Объем: 16,500,210 USD
[2025-07-18 11:51:13] MILKUSDT (linear) - 7.7x, цена: 0.053, Объем: 1,573,053 USD
[2025-07-18 11:51:12] KERNELUSDT (linear) - 11.1x, цена: 0.157, Объем: 4,992,387 USD
[2025-07-18 11:44:57] NOTUSDT (linear) - 3.9x, цена: 0.002, Объем: 277,045,650 USD
[2025-07-18 11:44:56] GIGAUSDT (linear) - 3.4x, цена: 0.025, Объем: 13,446,880 USD
[2025-07-18 11:39:35] SOLVUSDT (linear) - 3.1x, цена: 0.043, Объем: 1,668,293 USD
[2025-07-18 11:39:34] RVNUSDT (linear) - 3.6x, цена: 0.016, Объем: 11,097,680 USD
[2025-07-18 11:39:34] GLMUSDT (linear) - 14.2x, цена: 0.322, Объем: 1,059,309 USD
[2025-07-18 11:39:33] CROSSUSDT (linear) - 3.1x, цена: 0.254, Объем: 11,204,777 USD
[2025-07-18 11:32:49] PRCLUSDT (linear) - 8.1x, цена: 0.106, Объем: 1,842,548 USD
[2025-07-18 11:32:48] CROSSUSDT (linear) - 5.3x, цена: 0.269, Объем: 19,425,058 USD
[2025-07-18 11:32:48] CHZUSDT (linear) - 3.3x, цена: 0.045, Объем: 1,944,007 USD
[2025-07-18 11:32:47] ALUUSDT (linear) - 4.1x, цена: 0.011, Объем: 45,441,028 USD
[2025-07-18 11:27:01] POLUSDT (linear) - 5.0x, цена: 0.248, Объем: 6,370,490 USD
[2025-07-18 11:27:01] PIPPINUSDT (linear) - 3.5x, цена: 0.021, Объем: 8,168,419 USD
[2025-07-18 11:26:57] ONEUSDT (linear) - 3.4x, цена: 0.013, Объем: 5,194,981 USD
[2025-07-18 11:26:57] HUMAUSDT (linear) - 4.5x, цена: 0.037, Объем: 4,749,748 USD
[2025-07-18 11:26:57] GUNUSDT (linear) - 9.3x, цена: 0.037, Объем: 5,667,745 USD
[2025-07-18 11:26:56] GIGAUSDT (linear) - 4.0x, цена: 0.024, Объем: 15,844,940 USD
[2025-07-18 11:26:55] BRUSDT (linear) - 19.1x, цена: 0.071, Объем: 1,037,947 USD
[2025-07-18 11:26:55] AVLUSDT (linear) - 11.3x, цена: 0.147, Объем: 1,552,298 USD
[2025-07-18 11:21:16] RVNUSDT (linear) - 4.3x, цена: 0.016, Объем: 13,535,271 USD
[2025-07-18 11:14:38] SUIUSDT (linear) - 3.3x, цена: 4.121, Объем: 5,218,150 USD
[2025-07-18 11:14:38] STXUSDT (linear) - 4.1x, цена: 0.894, Объем: 1,113,528 USD
[2025-07-18 11:14:35] SPKUSDT (linear) - 3.8x, цена: 0.035, Объем: 5,286,960 USD
[2025-07-18 11:14:34] SIGNUSDT (linear) - 5.8x, цена: 0.077, Объем: 2,042,700 USD
[2025-07-18 11:14:33] SHIB1000USDT (linear) - 4.1x, цена: 0.016, Объем: 223,174,340 USD
[2025-07-18 11:14:32] SANDUSDT (linear) - 4.9x, цена: 0.344, Объем: 3,176,767 USD
[2025-07-18 11:14:32] RVNUSDT (linear) - 4.4x, цена: 0.016, Объем: 13,556,233 USD
[2025-07-18 11:14:31] PIPPINUSDT (linear) - 3.2x, цена: 0.021, Объем: 7,556,922 USD
[2025-07-18 11:14:27] LOOKSUSDT (linear) - 3.6x, цена: 0.013, Объем: 2,196,412 USD
[2025-07-18 11:14:27] CFXUSDT (linear) - 3.7x, цена: 0.112, Объем: 1,741,126 USD
[2025-07-18 11:14:26] ARPAUSDT (linear) - 3.7x, цена: 0.024, Объем: 1,132,130 USD
[2025-07-18 11:14:25] ARKUSDT (linear) - 35.7x, цена: 0.454, Объем: 2,571,908 USD
[2025-07-18 11:14:24] ALTUSDT (linear) - 4.0x, цена: 0.037, Объем: 9,223,962 USD
[2025-07-18 11:14:23] 1000PEPEPERP (linear) - 3.7x, цена: 0.014, Объем: 1,772,700 USD
[2025-07-18 11:14:23] 10000SATSUSDT (linear) - 3.8x, цена: 0.001, Объем: 281,548,000 USD
[2025-07-18 11:08:30] SCUSDT (linear) - 6.6x, цена: 0.004, Объем: 17,718,490 USD
[2025-07-18 11:08:30] PYTHUSDT (linear) - 3.2x, цена: 0.140, Объем: 2,091,079 USD
[2025-07-18 11:08:28] PIXELUSDT (linear) - 5.0x, цена: 0.046, Объем: 2,586,117 USD
[2025-07-18 11:08:28] JASMYUSDT (linear) - 5.8x, цена: 0.018, Объем: 86,059,399 USD
[2025-07-18 11:08:27] CROSSUSDT (linear) - 5.2x, цена: 0.296, Объем: 18,903,589 USD
[2025-07-18 11:08:26] CELRUSDT (linear) - 3.4x, цена: 0.010, Объем: 1,893,405 USD
[2025-07-18 11:02:51] CROSSUSDT (linear) - 5.2x, цена: 0.316, Объем: 18,877,954 USD
[2025-07-18 11:02:50] CLOUDUSDT (linear) - 9.2x, цена: 0.081, Объем: 1,373,492 USD
[2025-07-18 11:02:50] CELRUSDT (linear) - 4.6x, цена: 0.010, Объем: 2,570,047 USD
[2025-07-18 11:02:49] 10000SATSUSDT (linear) - 6.8x, цена: 0.001, Объем: 509,070,000 USD
[2025-07-18 10:57:17] SPKUSDT (linear) - 3.4x, цена: 0.036, Объем: 4,669,750 USD
[2025-07-18 10:57:14] SCUSDT (linear) - 3.0x, цена: 0.004, Объем: 8,170,270 USD
[2025-07-18 10:57:13] NFPUSDT (linear) - 8.9x, цена: 0.086, Объем: 2,508,593 USD
[2025-07-18 10:57:12] L3USDT (linear) - 3.9x, цена: 0.052, Объем: 1,032,340 USD
[2025-07-18 10:57:12] IOSTUSDT (linear) - 3.9x, цена: 0.004, Объем: 8,965,145 USD
[2025-07-18 10:51:10] PYTHUSDT (linear) - 4.3x, цена: 0.140, Объем: 2,747,956 USD
[2025-07-18 10:44:28] PORTALUSDT (linear) - 4.0x, цена: 0.062, Объем: 4,418,601 USD
[2025-07-18 10:44:28] DYDXUSDT (linear) - 7.3x, цена: 0.687, Объем: 2,456,050 USD
[2025-07-18 10:39:07] SOLVUSDT (linear) - 3.5x, цена: 0.043, Объем: 1,885,076 USD
[2025-07-18 10:39:07] SHIB1000PERP (linear) - 15.6x, цена: 0.016, Объем: 1,109,000 USD
[2025-07-18 10:39:06] DGBUSDT (linear) - 3.0x, цена: 0.010, Объем: 2,263,730 USD
[2025-07-18 10:39:05] CROSSUSDT (linear) - 3.2x, цена: 0.344, Объем: 11,799,415 USD
[2025-07-18 10:32:22] MAVUSDT (linear) - 3.0x, цена: 0.052, Объем: 6,194,913 USD
[2025-07-18 10:32:21] DOGEUSDT (linear) - 3.3x, цена: 0.243, Объем: 184,048,298 USD
[2025-07-18 10:32:11] CROSSUSDT (linear) - 3.4x, цена: 0.374, Объем: 12,278,774 USD
[2025-07-18 10:32:10] ASTRUSDT (linear) - 4.5x, цена: 0.027, Объем: 1,344,787 USD
[2025-07-18 10:32:10] ANKRUSDT (linear) - 4.2x, цена: 0.018, Объем: 2,120,438 USD
[2025-07-18 10:32:09] ALUUSDT (linear) - 4.3x, цена: 0.010, Объем: 47,818,793 USD
[2025-07-18 10:27:06] CROUSDT (linear) - 3.8x, цена: 0.127, Объем: 2,750,851 USD
[2025-07-18 10:27:05] CFXUSDT (linear) - 6.6x, цена: 0.114, Объем: 3,148,396 USD
[2025-07-18 10:27:04] BAKEUSDT (linear) - 3.3x, цена: 0.098, Объем: 1,307,161 USD
[2025-07-18 10:27:04] 10000ELONUSDT (linear) - 4.3x, цена: 0.001, Объем: 11,768,800 USD
[2025-07-18 10:12:21] APEUSDT (linear) - 20.8x, цена: 0.705, Объем: 4,006,743 USD
[2025-07-18 10:12:20] ANKRUSDT (linear) - 4.3x, цена: 0.018, Объем: 2,158,999 USD
[2025-07-18 10:01:22] SLERFUSDT (linear) - 5.4x, цена: 0.085, Объем: 1,366,680 USD
[2025-07-18 10:01:22] NEARUSDT (linear) - 3.9x, цена: 3.005, Объем: 1,590,742 USD
[2025-07-18 10:01:21] KERNELUSDT (linear) - 3.9x, цена: 0.165, Объем: 1,944,264 USD
[2025-07-18 10:01:21] GPSUSDT (linear) - 7.9x, цена: 0.026, Объем: 3,108,080 USD
[2025-07-18 10:01:20] CROUSDT (linear) - 5.6x, цена: 0.126, Объем: 3,084,083 USD
[2025-07-18 10:01:20] CFXUSDT (linear) - 4.0x, цена: 0.114, Объем: 1,086,465 USD
